frame_id,yolo_idx,gt_type,dist_estimated_m,dist_gt_m,dist_error_m,iou_2d
006037,0,Car,17.670,19.060,1.390,0.7835
006037,1,Car,27.587,33.180,5.593,0.7296
006037,2,Car,30.043,36.650,6.607,0.1037
006037,3,Car,18.969,36.650,17.681,0.4395
006037,4,,35.575,,,0.0000
006042,0,Car,20.293,20.380,0.087,0.9194
006042,1,Car,40.829,46.230,5.401,0.6622
006042,2,Van,57.134,56.650,0.484,0.8545
006048,0,Car,17.224,18.520,1.296,0.9143
006048,1,Car,5.952,5.560,0.392,0.9424
006048,2,Car,23.476,25.100,1.624,0.8930
006048,3,Car,17.247,17.220,0.027,0.8216
006048,4,Car,18.050,18.520,0.470,0.0434
006054,0,Car,6.540,6.540,0.000,0.9466
006054,1,Car,12.745,17.280,4.535,0.5992
006054,2,Car,31.901,33.280,1.379,0.8520
006054,3,Car,9.364,11.120,1.756,0.8777
006054,4,Car,58.870,60.200,1.330,0.8421
006054,5,Car,24.435,33.560,9.125,0.4005
006054,6,Car,21.937,28.150,6.213,0.5167
006054,7,Car,27.168,33.560,6.392,0.2111
006054,8,Car,37.567,33.280,4.287,0.0431
006054,9,,,,,0.0000
006059,0,Car,51.101,48.290,2.811,0.7637
006059,1,Car,31.312,32.990,1.678,0.6556
006059,2,Car,32.344,34.210,1.866,0.8131
006059,3,Car,68.236,66.470,1.766,0.6798
006059,4,Car,32.864,53.510,20.646,0.6802
006067,0,Car,24.908,25.850,0.942,0.8259
006067,1,Car,20.983,20.670,0.313,0.9556
006067,2,Car,48.162,49.480,1.318,0.6271
006067,3,Car,34.442,34.350,0.092,0.2961
006067,4,Car,29.083,45.920,16.837,0.5112
006067,5,Car,34.442,34.350,0.092,0.4281
006097,0,Car,9.375,9.540,0.165,0.8992
006097,1,Car,3.587,3.780,0.193,0.8833
006097,2,Car,6.854,7.080,0.226,0.7728
006097,3,Car,17.248,18.460,1.212,0.8298
006097,4,Car,20.472,22.310,1.838,0.8303
006097,5,Car,20.972,25.150,4.178,0.6878
006097,6,Van,49.922,52.260,2.338,0.1645
006097,7,Van,61.962,52.260,9.702,0.0240
006097,8,,70.177,,,0.0000
006097,9,,53.706,,,0.0000
006097,10,Van,49.922,52.260,2.338,0.2706
006097,11,,54.372,,,0.0000
006097,12,Car,25.579,25.150,0.429,0.0570
006098,0,Car,12.671,13.170,0.499,0.8655
006098,1,Car,18.094,19.630,1.536,0.8080
006098,2,Car,34.722,35.710,0.988,0.6940
006098,3,Car,19.451,35.710,16.259,0.4856
006206,0,Car,50.416,45.990,4.426,0.7688
006211,0,Car,6.154,7.080,0.926,0.8645
006211,1,Car,5.125,6.020,0.895,0.8712
006211,2,Car,7.389,10.850,3.461,0.7419
006211,3,Car,21.889,33.780,11.891,0.8416
006211,4,Car,21.437,22.960,1.523,0.8484
006211,5,Car,23.770,25.170,1.400,0.9252
006211,6,Car,27.459,34.360,6.901,0.4099
006211,7,Car,32.557,44.540,11.983,0.4724
006211,8,Car,7.389,10.850,3.461,0.5976
006211,9,Car,6.008,12.770,6.762,0.1761
006211,10,Car,5.882,24.970,19.088,0.4000
006227,0,Car,12.967,13.270,0.303,0.9246
006227,1,Car,20.357,16.350,4.007,0.7153
006253,0,Car,8.930,10.740,1.810,0.8351
006253,1,Car,26.400,27.920,1.520,0.7494
006253,2,Car,11.108,18.790,7.682,0.6609
006253,3,Car,19.225,35.450,16.225,0.7533
006291,0,Car,3.200,2.730,0.470,0.8312
006291,1,Car,10.872,12.520,1.648,0.8077
006291,2,Car,26.833,28.190,1.357,0.8620
006291,3,Car,31.926,29.610,2.316,0.9232
006291,4,Car,16.719,21.740,5.021,0.6670
006291,5,Car,22.315,31.890,9.575,0.5915
006291,6,,3.300,,,0.0000
006291,7,Car,22.845,31.890,9.045,0.5971
006291,8,Car,11.954,16.770,4.816,0.6073
006291,9,Van,31.653,39.700,8.047,0.3501
006291,10,Car,14.326,22.240,7.914,0.5935
006291,11,Car,14.326,22.240,7.914,0.4437
006291,12,Car,14.058,19.150,5.092,0.4708
006291,13,Car,14.317,22.240,7.923,0.6505
006291,14,Van,31.595,39.700,8.105,0.4750
006310,0,Car,10.964,14.730,3.766,0.7643
006310,1,Car,27.824,29.920,2.096,0.8859
006310,2,Car,13.664,17.570,3.906,0.3976
006310,3,Car,30.909,40.570,9.661,0.7161
006310,4,Car,5.935,18.010,12.075,0.5780
006310,5,Car,24.798,24.990,0.192,0.1619
006310,6,Car,19.972,24.990,5.018,0.3774
006310,7,,32.560,,,0.0000
006310,8,Car,34.825,68.980,34.155,0.1309
006310,9,Car,5.935,18.010,12.075,0.3834
006310,10,Car,26.249,24.990,1.259,0.3399
006310,11,Car,54.645,68.980,14.335,0.3750
006310,12,Car,5.950,18.010,12.060,0.2935
006312,0,Car,10.393,11.660,1.267,0.8806
006312,1,Car,12.310,11.640,0.670,0.9186
006312,2,Car,31.490,33.140,1.650,0.8165
006312,3,Car,11.367,18.480,7.113,0.5959
006312,4,Car,22.446,24.070,1.624,0.8868
006312,5,Car,14.420,20.780,6.360,0.3253
006312,6,Car,12.968,37.640,24.672,0.6847
006312,7,Car,12.709,37.640,24.931,0.4739
006315,0,,7.258,,,0.0000
006315,1,Car,16.681,18.270,1.589,0.8049
006315,2,Van,18.269,38.580,20.311,0.2512
006315,3,Car,54.250,55.560,1.310,0.8661
006315,4,Car,54.250,55.560,1.310,0.5964
006315,5,,,,,0.0000
006315,6,Van,17.565,38.580,21.015,0.4030
006315,7,Van,13.362,38.580,25.218,0.0972
006315,8,,,,,0.0000
006315,9,Van,39.752,38.580,1.172,0.0114
006329,0,Car,5.316,10.120,4.804,0.6898
006329,1,Car,6.340,4.510,1.830,0.7874
006329,2,Car,8.646,9.230,0.584,0.8032
006329,3,Van,11.623,11.890,0.267,0.3651
006329,4,Van,12.362,11.890,0.472,0.2822
006329,5,Car,10.106,9.230,0.876,0.4778
006329,6,Van,10.474,11.890,1.416,0.5805
006329,7,Car,10.381,9.230,1.151,0.1358
006374,0,Car,7.092,8.570,1.478,0.8756
006374,1,Car,18.450,20.330,1.880,0.9181
