frame_id,yolo_idx,matched_gt,n_masked_pts,n_inside_3d,precision_3d,iou_2d,dist_estimated_m,dist_gt_m,dist_error_m
006037,0,True,280,244,0.8714,0.7835,17.670,19.060,1.390
006037,1,True,86,62,0.7209,0.7296,31.695,33.180,1.485
006037,2,True,144,17,0.1181,0.1037,35.250,36.650,1.400
006037,3,True,69,20,0.2899,0.4395,35.230,36.650,1.420
006037,4,False,36,0,0.0000,0.0000,,,
006042,0,True,432,286,0.6620,0.9194,20.293,20.380,0.087
006042,1,True,28,20,0.7143,0.6622,48.038,46.230,1.808
006042,2,False,20,0,0.0000,0.0000,,,
006048,0,True,357,269,0.7535,0.9143,17.464,18.520,1.056
006048,1,True,658,427,0.6489,0.9424,5.952,5.560,0.392
006048,2,True,164,151,0.9207,0.8930,23.488,25.100,1.612
006048,3,True,262,206,0.7863,0.8216,17.308,17.220,0.088
006048,4,True,37,2,0.0541,0.0434,18.050,18.520,0.470
006054,0,True,1558,1156,0.7420,0.9466,6.540,6.540,0.000
006054,1,True,189,141,0.7460,0.5992,16.096,17.280,1.184
006054,2,True,76,43,0.5658,0.8520,31.908,33.280,1.372
006054,3,True,1668,1395,0.8363,0.8777,9.416,11.120,1.704
006054,4,True,11,8,0.7273,0.8421,59.055,60.200,1.145
006054,5,True,48,11,0.2292,0.4005,32.427,33.560,1.133
006054,6,True,81,3,0.0370,0.5167,26.931,28.150,1.219
006054,7,True,23,9,0.3913,0.2111,32.427,33.560,1.133
006054,8,True,12,0,0.0000,0.0431,,33.280,
006054,9,False,0,0,0.0000,0.0000,,,
006059,0,True,80,50,0.6250,0.7637,51.101,48.290,2.811
006059,1,True,97,77,0.7938,0.6556,31.312,32.990,1.678
006059,2,True,51,48,0.9412,0.8131,32.344,34.210,1.866
006059,3,True,15,13,0.8667,0.6798,68.236,66.470,1.766
006059,4,True,33,8,0.2424,0.6802,52.018,53.510,1.492
006067,0,True,175,115,0.6571,0.8259,24.908,25.850,0.942
006067,1,True,294,158,0.5374,0.9556,24.114,20.670,3.444
006067,2,True,74,59,0.7973,0.6271,48.162,49.480,1.318
006067,3,True,50,28,0.5600,0.2961,34.442,34.350,0.092
006067,4,True,54,8,0.1481,0.5112,46.318,45.920,0.398
006067,5,True,74,38,0.5135,0.4281,34.442,34.350,0.092
006097,0,True,1148,889,0.7744,0.8992,10.545,9.540,1.005
006097,1,True,1911,1021,0.5343,0.8833,3.587,3.780,0.193
006097,2,True,359,108,0.3008,0.7728,8.405,7.080,1.325
006097,3,True,340,238,0.7000,0.8298,17.260,18.460,1.200
006097,4,True,329,276,0.8389,0.8303,20.587,22.310,1.723
006097,5,True,273,210,0.7692,0.6878,25.541,25.150,0.391
006097,6,True,32,0,0.0000,0.0145,,18.460,
006097,7,False,8,0,0.0000,0.0000,,,
006097,8,False,2,0,0.0000,0.0000,,,
006097,9,False,48,0,0.0000,0.0000,,,
